setting,run,query_time,time_sim,fnA,fnA_prec,fnA_rec,fnB_prec,fnB_rec,fnC_prec,fnC_rec,fnA_tp,fnA_fp,fnA_tn,fnA_fn,fnB_tp,fnB_fp,fnB_tn,fnB_fn,fnC_tp,fnC_fp,fnC_tn,fnC_fn,resp,resp_prec,resp_rec,resp_tp,resp_fp,resp_tn,resp_fn,mal,mal_prec,mal_rec,mal_tp,mal_fp,mal_tn,mal_fn,memb,memb_prec,memb_rec,memb_tp,memb_fp,memb_tn,memb_fn
1,9,0:00:07.255440,8,2,,,,,,,1,1,5,0,1,1,5,0,1,1,5,0,2,,,1,1,17,0,2,,,1,1,6,0,0,,,0,0,809,0
1,9,0:00:07.293890,9,2,,,,,,,0,2,5,1,0,2,5,1,0,2,5,1,2,,,0,2,12,7,2,,,0,2,5,0,0,,,0,0,573,0
1,9,0:00:07.667574,10,2,,,,,,,0,2,6,0,0,2,6,0,0,1,7,0,1,,,0,1,27,0,1,,,0,1,4,0,2,,,0,2,1284,0
1,9,0:00:07.490871,11,0,,,,,,,0,0,8,0,0,1,7,0,0,0,8,0,1,,,0,1,21,0,1,,,0,1,4,0,0,,,0,0,1162,0
1,9,0:00:07.766246,12,1,,,,,,,1,0,6,1,2,1,5,0,0,0,6,2,0,,,0,0,11,9,0,,,0,0,0,0,4,,,0,4,504,0
1,9,0:00:07.907491,13,0,,,,,,,0,0,3,1,0,1,2,1,0,0,3,1,2,,,2,0,16,0,1,,,1,0,2,0,0,,,0,0,612,0
1,9,0:00:08.137432,14,0,0.25,0.25,0.13333333333333333,0.3333333333333333,0.25,0.16666666666666666,0,0,4,1,0,1,3,1,0,0,4,1,0,0.23076923076923078,0.11538461538461539,0,0,8,2,0,0.16666666666666666,0.13333333333333333,0,0,1,0,2,0.25,0.1111111111111111,2,0,497,0
1,10,0:00:06.659476,0,1,,,,,,,0,1,10,1,0,2,9,1,0,1,10,1,1,,,0,1,13,0,1,,,0,1,9,4,0,,,0,0,195,1
1,10,0:00:07.412082,1,0,,,,,,,0,0,6,1,0,0,6,1,0,0,6,1,0,,,0,0,9,0,0,,,0,0,5,4,0,,,0,0,80,1
1,10,0:00:06.934137,2,0,,,,,,,0,0,7,0,0,1,6,0,0,0,7,0,0,,,0,0,19,0,0,,,0,0,8,4,0,,,0,0,333,3
1,10,0:00:08.473983,3,0,,,,,,,0,0,5,1,1,0,5,0,0,0,5,1,0,,,0,0,17,3,0,,,0,0,9,1,0,,,0,0,360,4
1,10,0:00:08.703809,4,0,,,,,,,0,0,4,0,0,1,3,0,0,0,4,0,0,,,0,0,23,0,0,,,0,0,14,0,0,,,0,0,648,0
1,10,0:00:07.609229,5,3,,,,,,,1,2,4,3,1,2,3,2,0,0,5,3,5,,,3,2,26,1,5,,,3,2,15,0,6,,,6,0,852,0
1,10,0:00:07.492980,6,1,,,,,,,0,1,8,1,0,2,7,1,0,1,8,1,1,,,0,1,36,0,0,,,0,0,18,0,0,,,0,0,1404,0
1,10,0:00:07.669366,7,1,,,,,,,0,1,3,0,0,1,3,0,0,0,4,0,0,,,0,0,28,0,1,,,0,1,9,0,2,,,0,2,1027,0
1,10,0:00:08.364749,8,0,,,,,,,0,0,6,1,0,0,6,1,0,0,6,1,4,,,0,4,30,0,4,,,4,0,9,0,0,,,0,0,905,0
